,provinceName,provinceShortName,cityName,yesterdayLocalConfirmedCount,yesterdayAsymptomaticCount,currentConfirmedCount,confirmedCount,dangerCountIncr,currentDangerCount,currentConfirmedCountStr
115,湖南省,湖南,邵阳,0,0,51,154,0,0,51
116,湖南省,湖南,娄底,0,0,6,82,0,0,6
117,湖南省,湖南,长沙,0,0,5,274,0,0,5
118,湖南省,湖南,湘西自治州,0,0,3,13,0,0,3
119,湖南省,湖南,湘潭,0,0,2,41,0,0,2
120,湖南省,湖南,怀化,0,0,1,65,0,0,1
121,湖南省,湖南,永州,0,0,1,45,0,0,1
122,湖南省,湖南,郴州,0,0,1,40,0,0,1
123,海南省,海南,三亚,0,0,27,130,0,0,27
124,海南省,海南,海口,0,0,10,51,0,0,10
125,海南省,海南,陵水,0,0,6,10,0,0,6
126,海南省,海南,琼海,0,0,5,11,0,0,5
127,海南省,海南,儋州,0,0,1,16,0,0,1
128,海南省,海南,万宁,0,0,1,14,0,0,1
129,云南省,云南,德宏州,0,0,84,379,0,0,84
130,云南省,云南,红河州,0,0,29,38,0,0,29
131,云南省,云南,临沧,0,0,12,13,0,0,12
132,云南省,云南,昆明,0,0,8,66,0,0,8
133,云南省,云南,文山州,0,0,8,13,0,0,8
134,云南省,云南,西双版纳,0,0,6,21,0,0,6
135,云南省,云南,普洱,0,0,6,10,0,0,6
136,云南省,云南,曲靖,0,0,2,15,0,0,2
137,云南省,云南,保山,0,0,2,11,0,0,2
138,云南省,云南,昭通,0,0,1,26,0,0,1
139,内蒙古自治区,内蒙古,呼伦贝尔,0,0,10,658,0,0,10
140,内蒙古自治区,内蒙古,赤峰,0,0,1,13,0,0,1
141,重庆市,重庆,彭水县,0,0,5,9,0,0,5
142,重庆市,重庆,九龙坡区,0,0,1,23,0,0,1
143,山西省,山西,太原,0,0,6,109,0,0,6
144,安徽省,安徽,池州,0,0,3,21,0,0,3
145,安徽省,安徽,宣城,0,0,1,9,0,0,1
146,湖北省,湖北,武汉,0,0,1,50423,0,0,1
